Ingrédient (app);Produit (calendrier);Note
Citron vert;;import, absent du calendrier
Piment;;piment frais d'import, disponible toute l'année ; le calendrier ne connaît que le piment doux/d'Espelette
Piment (petit);;idem Piment
Piment rouge;;idem Piment
Piment vert;;idem Piment
Champignons sauvages;;trop vague pour choisir une espèce
Haricots coco;;secs ou frais selon la recette, non tranché
Gingembre frais;;import, absent du calendrier
Basilic;;rayon Épices (séché) — le frais est « Basilic frais »
Coriandre;;rayon Épices (graines/moulue) — la fraîche est « Coriandre fraîche »
Thym;;rayon Épices (séché)
Romarin;;rayon Épices (séché)
